feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation	is_des	is_uv	is_gam	is_lt	is_ht	is_osm	instability_category
RvY_12749-1	4	des;gam;lt;uv	0.6339285714285714	0.36607142857142855	0.625	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_04545	4	des;gam;lt;uv	0.6458333333333334	0.3541666666666667	0.625	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_01281-1	4	des;gam;lt;uv	0.6547619047619048	0.34523809523809523	0.5714285714285714	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_01414-1	4	des;gam;lt;uv	0.6547619047619048	0.34523809523809523	0.5714285714285714	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_17399-1	4	des;gam;lt;uv	0.6547619047619048	0.34523809523809523	0.5714285714285714	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_00530-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_00920-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_03479-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_10534-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_12430-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_14354-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_14745-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_14797	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_17295-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_18307-1	4	des;gam;lt;uv	0.6666666666666666	0.3333333333333333	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_01462-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_02629-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_02642	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_03017-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_03967-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_03969-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_04386-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_04760	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_07044-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_07384-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_08233-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_10292-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_10963-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_11974-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_12866-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_15022-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
RvY_16173-1	4	des;gam;lt;uv	0.6785714285714286	0.32142857142857145	0.5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	multi_condition_instable
